h original new
1.0 0.47446622466398747 0.7525622410136829
0.5 0.3875711227830372 0.5870873641051092
0.25 0.11350815213644727 0.3385602556240635
0.125 0.047777952263637985 0.28693536134661585
0.09375 0.0313783568969144 0.27318160659574114
0.0625 0.017069145730466126 0.2668041738503197
